actual_config_differences,baseline_role,baseline_value,cell,difference,inference,library_seed,method,metric,physical_world_id,role,value
"[""observation_config.lag_scale""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0.17295362207970075,structured/combined/prescribed,-6.743112007590035e-05,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0.17288619095962485
"[""observation_config.lag_scale""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0,structured/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,1
"[""observation_config.lag_scale""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0.1755162508399283,structured/combined/prescribed,-0.18282456850183884,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,-0.0073083176619105385
"[""observation_config.lag_scale""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0
"[""observation_config.lag_scale""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0.17336526030856134,navigation/combined/prescribed,-0.0005637702396990296,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0.1728014900688623
"[""observation_config.lag_scale""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0.0
"[""observation_config.lag_scale""]",oracle,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0
"[""observation_config.lag_scale""]",oracle,0.0,navigation/combined/prescribed,1.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,1.0
"[""observation_config.lag_scale""]",oracle,0.17198413088891082,navigation/combined/prescribed,-0.03876751256431185,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0.13321661832459897
"[""observation_config.lag_scale""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,lag_scale,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0,structured/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,1
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0.17295362207970075,structured/combined/prescribed,-0.17312267696095818,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,-0.00016905488125741613
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0.0
