K,component,observation,repetition,seconds
4,learner,structured_nominal,13,0.015532408840954304
4,controller,structured_nominal,13,0.015380169730633497
4,learner,structured_combined,13,0.01532910717651248
4,controller,structured_combined,13,0.014131118077784777
4,learner,navigation_nominal,13,0.015388939063996077
4,controller,navigation_nominal,13,0.014762985054403543
4,learner,navigation_combined,13,0.015317472163587809
4,controller,navigation_combined,13,0.014081524685025215
32,learner,structured_nominal,13,0.01653487328439951
32,controller,structured_nominal,13,0.014238019939512014
32,learner,structured_combined,13,0.016587765887379646
32,controller,structured_combined,13,0.01416794303804636
32,learner,navigation_nominal,13,0.016468573827296495
32,controller,navigation_nominal,13,0.01435032207518816
32,learner,navigation_combined,13,0.016405893955379725
32,controller,navigation_combined,13,0.013875233940780163
16,learner,structured_nominal,13,0.016126261092722416
16,controller,structured_nominal,13,0.013901148922741413
16,learner,structured_combined,13,0.01608725218102336
16,controller,structured_combined,13,0.013508850242942572
16,learner,navigation_nominal,13,0.015927958767861128
16,controller,navigation_nominal,13,0.013554412871599197
16,learner,navigation_combined,13,0.015988044906407595
16,controller,navigation_combined,13,0.013759526889771223
8,learner,structured_nominal,13,0.015673968940973282
8,controller,structured_nominal,13,0.015103893354535103
8,learner,structured_combined,13,0.015562089160084724
8,controller,structured_combined,13,0.014552936889231205
8,learner,navigation_nominal,13,0.015647580847144127
8,controller,navigation_nominal,13,0.01526457630097866
8,learner,navigation_combined,13,0.015613399911671877
8,controller,navigation_combined,13,0.014626768883317709
8,controller,structured_nominal,14,0.013853123877197504
8,learner,structured_nominal,14,0.015564566012471914
8,controller,structured_combined,14,0.014079384040087461
8,learner,structured_combined,14,0.015559970866888762
8,controller,navigation_nominal,14,0.014282072894275188
8,learner,navigation_nominal,14,0.01546153798699379
8,controller,navigation_combined,14,0.014429728034883738
8,learner,navigation_combined,14,0.01545510534197092
4,controller,structured_nominal,14,0.014620138797909021
4,learner,structured_nominal,14,0.015455128625035286
4,controller,structured_combined,14,0.014782880898565054
4,learner,structured_combined,14,0.015410255640745163
4,controller,navigation_nominal,14,0.01603602385148406
4,learner,navigation_nominal,14,0.015709903091192245
4,controller,navigation_combined,14,0.015767958015203476
4,learner,navigation_combined,14,0.015442111063748598
32,controller,structured_nominal,14,0.014949287753552198
32,learner,structured_nominal,14,0.017074766103178263
32,controller,structured_combined,14,0.015257772989571095
32,learner,structured_combined,14,0.0168315377086401
32,controller,navigation_nominal,14,0.015035407617688179
32,learner,navigation_nominal,14,0.016462654806673527
32,controller,navigation_combined,14,0.014687029179185629
32,learner,navigation_combined,14,0.01639441680163145
16,controller,structured_nominal,14,0.01415728684514761
16,learner,structured_nominal,14,0.016079443972557783
16,controller,structured_combined,14,0.013841843232512474
16,learner,structured_combined,14,0.015947602223604918
16,controller,navigation_nominal,14,0.014124699868261814
16,learner,navigation_nominal,14,0.01589747192338109
16,controller,navigation_combined,14,0.013848540838807821
16,learner,navigation_combined,14,0.01587487291544676
16,learner,structured_nominal,15,0.016274195164442062
16,controller,structured_nominal,15,0.013804967980831861
16,learner,structured_combined,15,0.016290950123220682
16,controller,structured_combined,15,0.014239939860999584
16,learner,navigation_nominal,15,0.016114248894155025
16,controller,navigation_nominal,15,0.013900151941925287
16,learner,navigation_combined,15,0.01593879470601678
16,controller,navigation_combined,15,0.013357019983232021
8,learner,structured_nominal,15,0.015658659860491753
